4	0.0262794
5	0.0236532
6	0.0254465
7	0.0256802
8	0.0256916
9	0.0259113
10	0.025359
11	0.013872
12	0.0113948
13	0.0280073
14	0.0288134
15	0.0173076
16	0.0347184
17	0.0323738
18	0.0293351
19	0.0268488
20	0.0266614
21	0.0244603
22	0.0243782
23	0.0228305
24	0.0228051
25	0.0203524
26	0.0195286
27	0.0177621
28	0.0169768
29	0.0156431
30	0.01613
31	0.0150797
32	0.0155097
33	0.0159406
34	0.0147111
35	0.0151618
36	0.0140532
37	0.0142259
38	0.0135842
39	0.0139496
40	0.0133069
41	0.013719
42	0.0127406
43	0.0130285
44	0.0123221
